"","ExactAge_MatReas","FlooredAge_MatReas","FlooredMonth_MatReas","total_raw_score","t_score","participant"
"1",10.1232876712329,10,1,20,57,83
"2",10.1315068493151,10,1,17,51,121
"3",10.1342465753425,10,1,18,53,139
"4",10.2790777752826,10,3,14,44,51
"5",10.2356164383562,10,2,24,70,149
"6",10.3890410958904,10,4,22,62,41
"7",10.4920952167078,10,5,21,59,32
"8",10.5608877910023,10,6,22,62,74
"9",10.4794520547945,10,5,22,62,147
"10",10.6267235571525,10,7,27,80,16
"11",10.7150684931507,10,8,19,54,62
"12",10.9232876712329,10,11,19,54,100
"13",10.8438356164384,10,10,26,77,104
"14",10.9596451830227,10,11,22,61,109
"15",10.7079272400629,10,8,15,45,8
"16",11.2520547945205,11,3,17,49,67
"17",11.6328767123288,11,7,26,76,24
"18",11.5068493150685,11,6,22,60,45
"19",11.4438356164384,11,5,22,60,68
"20",11.5616438356164,11,6,7,29,86
"21",11.5972602739726,11,7,22,60,107
"22",11.3452054794521,11,4,24,68,125
"23",11.4684931506849,11,5,18,51,13
"24",11.6958904109589,11,8,22,59,34
"25",11.9808219178082,11,11,20,54,15
"26",11.7534246575342,11,9,21,56,56
"27",11.7095890410959,11,8,20,54,144
"28",12.0657534246575,12,0,25,71,57
"29",12.1041095890411,12,1,22,59,50
"30",12.4219178082192,12,5,13,39,79
"31",12.4,12,4,21,55,119
"32",12.5452054794521,12,6,24,66,135
"33",12.3397260273973,12,4,26,75,4
"34",12.6575342465753,12,7,26,75,72
"35",12.5068493150685,12,6,22,58,111
"36",12.6794520547945,12,8,21,55,20
"37",12.8849315068493,12,10,26,75,98
"38",12.7753424657534,12,9,24,66,29
"39",12.7698630136986,12,9,22,58,90
"40",12.7342465753425,12,8,22,58,128
"41",12.7369863013699,12,8,18,48,35
"42",13.1287671232877,13,1,23,61,31
"43",13.0712328767123,13,0,25,70,49
"44",13.2931506849315,13,3,22,58,87
"45",13.1287671232877,13,1,21,55,93
"46",13.0164383561644,13,0,24,65,94
"47",13.3945205479452,13,4,23,61,59
"48",13.5753424657534,13,6,20,52,22
"49",13.6164383561644,13,7,22,57,138
"50",13.5780821917808,13,6,23,61,7
"51",13.5479452054795,13,6,22,57,127
"52",13.5972602739726,13,7,25,70,130
"53",13.5424657534247,13,6,24,65,55
"54",13.8049255183771,13,9,14,39,38
"55",13.8245078224418,13,9,27,77,117
"56",13.8301369863014,13,9,22,57,110
"57",14.2465753424658,14,2,24,64,21
"58",14.3123287671233,14,3,22,56,80
"59",14.2356164383562,14,2,7,26,97
"60",14.0356164383562,14,0,23,60,146
"61",14.013698630137,14,0,23,60,76
"62",14.5972602739726,14,7,23,59,27
"63",14.5397260273973,14,6,22,56,40
"64",14.4082191780822,14,4,23,59,116
"65",14.8630136986301,14,10,19,48,60
"66",14.9561643835616,14,11,26,72,96
"67",14.7205479452055,14,8,22,56,3
"68",14.7917808219178,14,9,20,51,134
"69",14.841095890411,14,10,14,38,46
"70",14.8827532000898,14,10,21,53,69
"71",15.1643835616438,15,1,26,71,42
"72",15.227397260274,15,2,22,55,122
"73",15.1123287671233,15,1,22,55,140
"74",15.2767123287671,15,3,20,50,145
"75",15.5205479452055,15,6,25,66,77
"76",15.4712328767123,15,5,23,58,63
"77",15.3616438356164,15,4,22,55,101
"78",15.5561643835616,15,6,20,50,12
"79",15.9150684931507,15,10,23,57,133
"80",15.9260273972603,15,11,21,52,115
"81",15.8712328767123,15,10,26,70,23
"82",15.8849315068493,15,10,24,61,82
"83",15.9095890410959,15,10,15,39,11
"84",16.2082191780822,16,2,22,54,58
"85",16.3068493150685,16,3,24,60,30
"86",16.0821917808219,16,0,25,65,47
"87",16.3095890410959,16,3,23,57,126
"88",16.0986301369863,16,1,24,60,19
"89",16.613698630137,16,7,23,56,78
"90",16.6027397260274,16,7,25,64,6
"91",16.4931506849315,16,5,9,27,137
"92",16.5506849315069,16,6,21,51,88
"93",16.427397260274,16,5,25,64,143
"94",16.6657534246575,16,7,22,53,132
"95",16.772602739726,16,9,23,55,99
"96",16.8219178082192,16,9,24,59,118
"97",16.9698630136986,16,11,25,63,5
"98",16.8986301369863,16,10,19,46,70
"99",16.8438356164384,16,10,26,68,108
"100",17.6164383561644,17,7,25,62,39
"101",17.8488135339472,17,10,13,34,61
"102",17.6794520547945,17,8,25,62,81
"103",18.2328767123288,18,2,22,53,43
"104",19.9452054794521,19,11,22,53,2
"105",19.6602739726027,19,7,26,68,25
"106",17.0027397260274,17,0,27,73,103
"107",19.0109589041096,19,0,20,49,65
"108",19.3178082191781,19,3,26,68,85
"109",18.2760011976944,18,3,21,51,106
"110",17.0191780821918,17,0,25,62,37
"111",18.413698630137,18,4,26,68,66
"112",19.5369863013699,19,6,20,49,105
"113",18.8334531027772,18,10,24,58,123
"114",19.0794520547945,19,0,27,73,141
"115",18.3690994834943,18,4,21,51,142
"116",18.1669436335055,18,2,20,49,9
"117",19.1232876712329,19,1,25,62,124
"118",18.5742495695786,18,6,26,68,71
"119",19.4219178082192,19,5,25,62,33
"120",19.4520547945205,19,5,26,68,10
"121",18.1342465753425,18,1,20,49,52
"122",18.9186391196946,18,11,22,53,89
"123",19.4465753424658,19,5,24,58,53
"124",17.1315068493151,17,1,21,51,54
"125",19.9479452054795,19,11,23,55,73
"126",17.2821917808219,17,3,26,68,14
"127",17.5424657534247,17,6,26,68,112
"128",19.3616438356164,19,4,27,73,92
"129",17.9041095890411,17,10,28,76,18
"130",17.6438356164384,17,7,24,58,36
"131",18.2684931506849,18,3,23,55,75
"132",19.4438356164384,19,5,19,46,113
"133",18.4821917808219,18,5,25,62,150
"134",18.9584924021259,18,11,25,62,114
"135",18.9258552286848,18,11,25,62,95
"136",20.1917808219178,20,2,25,61,44
"137",20.0356164383562,20,0,22,52,102
"138",20.1506849315068,20,1,25,61,26
"139",20.358904109589,20,4,25,61,1
"140",20.427397260274,20,5,22,52,64
"141",20.8794520547945,20,10,21,50,84
"142",20.4465753424658,20,5,23,54,136
"143",20.4931506849315,20,5,17,42,120
"144",20.1780821917808,20,2,24,57,28
"145",20.6328767123288,20,7,17,42,48
"146",20.0082191780822,20,0,25,61,91
"147",20.7534246575342,20,9,25,61,129
"148",20.2054794520548,20,2,28,75,148
"149",20.4931506849315,20,5,23,54,17
"150",20.2054794520548,20,2,21,50,131
